[-9.83394623 -0.24788445 -0.74844337], [ 0.18310553  0.06103517 -0.12207034]
[-9.8315506  -0.24309438 -0.75203586], [ 0.12207034  0.06103517 -0.18310553]
[-9.81598282 -0.24069941 -0.75443077], [ 0.12207034  0.12207034 -0.12207034]
[-9.80999756 -0.23950189 -0.7436533 ], [ 0.12207034  0.12207034 -0.18310553]
[-9.81957626 -0.24069941 -0.72928309], [ 0.06103517  0.12207034 -0.18310553]
[-9.82077408 -0.24548942 -0.73407316], [ 0.12207034  0.12207034 -0.12207034]
[-9.81957626 -0.22992182 -0.72928309], [ 0.12207034  0.06103517 -0.18310553]
[-9.82197189 -0.24548942 -0.72090054], [ 0.12207034  0.12207034 -0.18310553]
[-9.82795715 -0.24548942 -0.71730804], [ 0.12207034  0.06103517 -0.12207034]
[-9.82676315 -0.23351431 -0.72808576], [ 0.12207034  0.06103517 -0.12207034]
[-9.82436752 -0.22513175 -0.73646832], [ 0.12207034  0.12207034 -0.12207034]
[-9.83035278 -0.22273672 -0.73527074], [ 0.18310553  0.06103517 -0.12207034]
[-9.82556534 -0.23231679 -0.74245572], [ 0.12207034  0.06103517 -0.12207034]
[-9.82795715 -0.24069941 -0.74125838], [ 0.12207034  0.12207034 -0.12207034]
[-9.83394623 -0.25626695 -0.72808576], [ 0.12207034  0.12207034 -0.12207034]
[-9.83394623 -0.25866199 -0.72928309], [ 0.18310553  0.06103517 -0.12207034]
[-9.82316971 -0.24069941 -0.73407316], [ 0.18310553  0.06103517 -0.12207034]
[-9.82436752 -0.24189687 -0.73287582], [ 0.12207034  0.12207034 -0.18310553]
[-9.82915497 -0.251477   -0.74006081], [ 0.12207034  0.12207034 -0.18310553]
[-9.82676315 -0.24788445 -0.74724579], [ 0.12207034  0.12207034 -0.12207034]
[-9.82556534 -0.23950189 -0.73646832], [ 0.18310553  0.06103517 -0.12207034]
[-9.82197189 -0.2442919  -0.72808576], [ 0.12207034  0.06103517 -0.12207034]
[-9.81598282 -0.25267446 -0.73167825], [ 0.12207034  0.06103517 -0.18310553]
[-9.82197189 -0.25027943 -0.73527074], [ 0.12207034  0.06103517 -0.12207034]
[-9.82795715 -0.23950189 -0.73646832], [ 0.12207034  0.06103517 -0.12207034]
[-9.83274841 -0.23231679 -0.73407316], [ 0.12207034  0.12207034 -0.12207034]
[-9.81957626 -0.23590934 -0.72928309], [ 0.12207034  0.12207034 -0.12207034]
[-9.82676315 -0.23231679 -0.72928309], [ 0.12207034  0.06103517 -0.12207034]
[-9.82915497 -0.23950189 -0.72808576], [ 0.12207034  0.06103517 -0.18310553]
[-9.82915497 -0.23950189 -0.72928309], [ 0.18310553  0.06103517 -0.12207034]
[-9.82197189 -0.23830438 -0.73886323], [ 0.12207034  0.06103517 -0.12207034]
[-9.814785   -0.23830438 -0.7436533 ], [ 0.12207034  0.12207034 -0.12207034]
[-9.81598282 -0.23830438 -0.73766565], [ 0.12207034  0.06103517 -0.12207034]
[-9.82795715 -0.23710686 -0.73048067], [ 0.12207034  0.12207034 -0.18310553]
[-9.83035278 -0.24069941 -0.72688818], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.24788445 -0.73287582], [ 0.12207034  0.12207034 -0.18310553]
[-9.82676315 -0.23471183 -0.74125838], [ 0.12207034  0.12207034 -0.18310553]
[-9.83035278 -0.23471183 -0.74006081], [ 0.12207034  0.12207034 -0.12207034]
[-9.82556534 -0.23830438 -0.74964094], [ 0.12207034  0.12207034 -0.12207034]
[-9.82316971 -0.23950189 -0.7436533 ], [ 0.12207034  0.06103517 -0.12207034]
[-9.82436752 -0.24189687 -0.72928309], [ 0.18310553  0.12207034 -0.12207034]
[-9.82197189 -0.24189687 -0.7256906 ], [ 0.12207034  0.06103517 -0.12207034]
[-9.82197189 -0.23710686 -0.73167825], [ 0.18310553  0.12207034 -0.12207034]
[-9.82197189 -0.23231679 -0.73287582], [ 0.12207034  0.12207034 -0.12207034]
[-9.82197189 -0.22992182 -0.73407316], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.23471183 -0.73766565], [ 0.12207034  0.12207034 -0.12207034]
[-9.82915497 -0.23590934 -0.73048067], [ 0.12207034  0.06103517 -0.12207034]
[-9.82197189 -0.23830438 -0.73048067], [ 0.12207034  0.12207034 -0.12207034]
[-9.82556534 -0.23830438 -0.73287582], [ 0.12207034  0.12207034 -0.12207034]
[-9.82676315 -0.24189687 -0.73407316], [ 0.12207034  0.06103517 -0.06103517]
[-9.82915497 -0.23351431 -0.72928309], [ 0.18310553  0.06103517 -0.12207034]
[-9.82316971 -0.23590934 -0.73287582], [ 0.12207034  0.12207034 -0.18310553]
[-9.82676315 -0.23590934 -0.73167825], [ 0.12207034  0.06103517 -0.12207034]
[-9.82795715 -0.23351431 -0.73766565], [ 0.12207034  0.06103517 -0.12207034]
[-9.82316971 -0.24069941 -0.73766565], [ 0.12207034  0.06103517 -0.18310553]
[-9.82795715 -0.24788445 -0.73407316], [ 0.12207034  0.06103517 -0.12207034]
[-9.82436752 -0.23590934 -0.73287582], [ 0.12207034  0.12207034 -0.12207034]
[-9.82316971 -0.25027943 -0.73407316], [ 0.18310553  0.12207034 -0.12207034]
[-9.8315506  -0.24309438 -0.73646832], [ 0.12207034  0.12207034 -0.12207034]
[-9.82556534 -0.23590934 -0.73886323], [ 0.12207034  0.06103517 -0.12207034]
[-9.81358719 -0.22992182 -0.74125838], [ 0.18310553  0.06103517 -0.12207034]
[-9.82197189 -0.22513175 -0.74245572], [ 0.18310553  0.06103517 -0.12207034]
[-9.82436752 -0.23351431 -0.74485087], [ 0.12207034  0.06103517 -0.12207034]
[-9.82316971 -0.24189687 -0.73886323], [ 0.12207034  0.06103517 -0.12207034]
[-9.82676315 -0.24309438 -0.73048067], [ 0.12207034  0.06103517 -0.12207034]
[-9.82915497 -0.24309438 -0.73167825], [ 0.12207034  0.12207034 -0.18310553]
[-9.82436752 -0.23950189 -0.73766565], [ 0.12207034  0.06103517 -0.12207034]
[-9.81837845 -0.23231679 -0.73646832], [ 0.18310553  0.06103517 -0.18310553]
[-9.81718063 -0.22992182 -0.73766565], [ 0.18310553  0.06103517 -0.12207034]
[-9.81957626 -0.23351431 -0.73886323], [ 0.18310553  0.12207034 -0.18310553]
[-9.82795715 -0.22992182 -0.73527074], [ 0.12207034  0.12207034 -0.12207034]
[-9.8315506  -0.24069941 -0.73766565], [ 0.12207034  0.06103517 -0.12207034]
[-9.82556534 -0.2442919  -0.73886323], [ 0.12207034  0.06103517 -0.12207034]
[-9.82077408 -0.24309438 -0.73407316], [ 0.12207034  0.06103517 -0.12207034]
[-9.81718063 -0.24309438 -0.73527074], [ 0.12207034  0.06103517 -0.18310553]
[-9.81837845 -0.23950189 -0.74245572], [ 0.18310553  0.06103517 -0.18310553]
[-9.81598282 -0.24189687 -0.74485087], [ 0.12207034  0.12207034 -0.18310553]
[-9.81957626 -0.23111933 -0.74006081], [ 0.12207034  0.06103517 -0.18310553]
[-9.82556534 -0.23471183 -0.74485087], [ 0.12207034  0.12207034 -0.18310553]
[-9.82795715 -0.23471183 -0.73886323], [ 0.12207034  0.12207034 -0.12207034]
[-9.82436752 -0.23471183 -0.73287582], [ 0.12207034  0.06103517 -0.18310553]
[-9.82556534 -0.23710686 -0.73527074], [ 0.12207034  0.06103517 -0.18310553]
[-9.82316971 -0.24548942 -0.73886323], [ 0.12207034  0.06103517 -0.18310553]
[-9.82436752 -0.23590934 -0.73766565], [ 0.18310553  0.06103517 -0.12207034]
[-9.8315506  -0.23351431 -0.73407316], [ 0.18310553  0.12207034 -0.12207034]
[-9.83514404 -0.24548942 -0.73167825], [ 0.18310553  0.12207034 -0.18310553]
[-9.83274841 -0.24309438 -0.73527074], [ 0.18310553  0.12207034 -0.12207034]
[-9.82795715 -0.23590934 -0.73407316], [ 0.12207034  0.12207034 -0.12207034]
[-9.82795715 -0.2442919  -0.73287582], [ 0.12207034  0.06103517 -0.12207034]
[-9.8315506  -0.24189687 -0.72928309], [ 0.18310553  0.12207034 -0.18310553]
[-9.82915497 -0.23590934 -0.73407316], [ 0.12207034  0.12207034 -0.12207034]
[-9.82556534 -0.24069941 -0.73646832], [ 0.12207034  0.12207034 -0.18310553]
[-9.8315506  -0.24668694 -0.73646832], [ 0.18310553  0.12207034 -0.12207034]
[-9.83274841 -0.23950189 -0.73766565], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.23830438 -0.73886323], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.23590934 -0.74125838], [ 0.12207034  0.12207034 -0.18310553]
[-9.8315506  -0.23351431 -0.74245572], [ 0.12207034  0.12207034 -0.12207034]
[-9.83753967 -0.23830438 -0.7436533 ], [ 0.12207034  0.12207034 -0.18310553]
[-9.82077408 -0.23830438 -0.73766565], [ 0.12207034  0.12207034 -0.12207034]
[-9.82077408 -0.23231679 -0.73167825], [ 0.12207034  0.06103517 -0.18310553]
[-9.82436752 -0.23710686 -0.73646832], [ 0.18310553  0.12207034 -0.12207034]
[-9.83274841 -0.23710686 -0.74245572], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.2442919  -0.74125838], [ 0.12207034  0.06103517 -0.12207034]
[-9.83035278 -0.24069941 -0.74006081], [ 0.12207034  0.12207034 -0.18310553]
[-9.82676315 -0.23710686 -0.74006081], [ 0.12207034  0.06103517 -0.12207034]
[-9.82316971 -0.23710686 -0.73886323], [ 0.12207034  0.06103517 -0.18310553]
[-9.82676315 -0.23830438 -0.73646832], [ 0.18310553  0.12207034 -0.12207034]
[-9.82316971 -0.23471183 -0.73527074], [ 0.12207034  0.12207034 -0.12207034]
[-9.81837845 -0.23590934 -0.73287582], [ 0.12207034  0.06103517 -0.12207034]
[-9.81598282 -0.24069941 -0.73407316], [ 0.12207034  0.06103517 -0.12207034]
[-9.82316971 -0.2442919  -0.73766565], [ 0.18310553  0.12207034 -0.18310553]
[-9.81598282 -0.23830438 -0.73287582], [ 0.18310553  0.12207034 -0.18310553]
[-9.81718063 -0.24548942 -0.73766565], [ 0.12207034  0.06103517 -0.18310553]
[-9.82197189 -0.2442919  -0.74125838], [ 0.12207034  0.12207034 -0.18310553]
[-9.82556534 -0.24309438 -0.73407316], [ 0.12207034  0.12207034 -0.18310553]
[-9.82436752 -0.2442919  -0.72928309], [ 0.12207034  0.12207034 -0.12207034]
[-9.82676315 -0.24069941 -0.73527074], [ 0.12207034  0.12207034 -0.12207034]
[-9.82316971 -0.23351431 -0.74125838], [ 0.18310553  0.12207034 -0.12207034]
[-9.81957626 -0.23111933 -0.73766565], [ 0.18310553  0.06103517 -0.12207034]
[-9.82197189 -0.23351431 -0.73766565], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.23471183 -0.73287582], [ 0.18310553  0.06103517 -0.12207034]
[-9.82436752 -0.23231679 -0.73886323], [ 0.18310553  0.12207034 -0.12207034]
[-9.82436752 -0.23710686 -0.72928309], [ 0.18310553  0.12207034 -0.18310553]
[-9.82316971 -0.24788445 -0.72808576], [ 0.12207034  0.12207034 -0.12207034]
[-9.83274841 -0.2442919  -0.73766565], [ 0.12207034  0.12207034 -0.12207034]
[-9.83873749 -0.23351431 -0.74125838], [ 0.18310553  0.18310553 -0.18310553]
[-9.82197189 -0.23590934 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.24189687 -0.73766565], [ 0.12207034  0.12207034 -0.18310553]
[-9.82436752 -0.24309438 -0.74125838], [ 0.12207034  0.06103517 -0.18310553]
[-9.82795715 -0.23710686 -0.74245572], [ 0.12207034  0.06103517 -0.12207034]
[-9.82436752 -0.23590934 -0.74245572], [ 0.18310553  0.12207034 -0.12207034]
[-9.82077408 -0.23471183 -0.73766565], [ 0.18310553  0.06103517 -0.12207034]
[-9.82197189 -0.23950189 -0.73527074], [ 0.12207034  0.06103517 -0.18310553]
[-9.82316971 -0.24548942 -0.74006081], [ 0.12207034  0.12207034 -0.12207034]
[-9.82077408 -0.23950189 -0.73886323], [ 0.18310553  0.12207034 -0.18310553]
[-9.82197189 -0.23710686 -0.73766565], [ 0.12207034  0.12207034 -0.12207034]
[-9.83035278 -0.23471183 -0.74485087], [ 0.12207034  0.12207034 -0.12207034]
[-9.82556534 -0.23590934 -0.7436533 ], [ 0.12207034  0.06103517 -0.12207034]
[-9.82795715 -0.24908197 -0.73646832], [ 0.12207034  0.12207034 -0.18310553]
[-9.82795715 -0.24069941 -0.74006081], [ 0.18310553  0.12207034 -0.12207034]
[-9.82556534 -0.23351431 -0.73167825], [ 0.18310553  0.06103517 -0.12207034]
[-9.81957626 -0.23590934 -0.73407316], [ 0.18310553  0.12207034 -0.12207034]
[-9.82197189 -0.23351431 -0.74006081], [ 0.18310553  0.12207034 -0.12207034]
[-9.82795715 -0.23111933 -0.73886323], [ 0.18310553  0.12207034 -0.18310553]
[-9.82556534 -0.23590934 -0.73766565], [ 0.12207034  0.12207034 -0.18310553]
[-9.82556534 -0.23950189 -0.7436533 ], [ 0.12207034  0.12207034 -0.18310553]
[-9.82197189 -0.23471183 -0.7436533 ], [ 0.18310553  0.12207034 -0.12207034]
[-9.82676315 -0.23590934 -0.74604821], [ 0.12207034  0.12207034 -0.12207034]
[-9.81957626 -0.23351431 -0.74485087], [ 0.12207034  0.12207034 -0.18310553]
[-9.81718063 -0.23111933 -0.74485087], [ 0.18310553  0.12207034 -0.12207034]
[-9.82795715 -0.23471183 -0.73886323], [ 0.12207034  0.12207034 -0.12207034]
[-9.82915497 -0.23830438 -0.74245572], [ 0.12207034  0.12207034 -0.12207034]
[-9.82915497 -0.24069941 -0.74485087], [ 0.12207034  0.12207034 -0.12207034]
[-9.82676315 -0.23830438 -0.74125838], [ 0.12207034  0.12207034 -0.12207034]
[-9.82676315 -0.23351431 -0.73766565], [ 0.12207034  0.12207034 -0.12207034]
[-9.83035278 -0.23710686 -0.73646832], [ 0.18310553  0.12207034 -0.12207034]
